id,title,duration,director,actors,genres,year
1383,Amaanat,0,Shatrujit Paul,"Manoj Kumar, Sadhana, Balraj Sahni","Drama, Family",1977
1384,Amaanat,140,Raj N. Sippy,"Sanjay Dutt, Akshay Kumar, Heera Rajgopal","Action, Drama",1994
1385,Amal,87,Afnan Amrohi,"Afnan Amrohi, -, -","Crime, Drama, Fantasy",2017
1386,Aman,152,Mohan Kumar,"Rajendra Kumar, Saira Banu, Balraj Sahni","Adventure, Drama, Romance",1967
1387,Aman Ke Farishtey,137,Kader Kashmiri,"Sonia Albizuri, Dev Anand, Bob Christo",Action,2016
1388,Amanat,0,Aravind Sen,"Bharat Bhushan, Chand Usmani, Nasir Hussain","Drama, Family",1955
1389,Amangal,0,Avinash Dhyani,"Avinash Dhyani, Suruchi Saklani, Sanskriti Bhatt",Drama,2021
1390,Amanush,153,Shakti Samanta,"Uttam Kumar, Sharmila Tagore, Prema Narayan","Drama, Family",1975
1391,Amar,149,Mehboob Khan,"Madhubala, Nimmi, Dilip Kumar","Drama, Musical, Romance",1954
1392,Amar Deep,148,T. Prakash Rao,"Dev Anand, Vyjayanthimala, Padmini","Musical, Romance",1958
1393,Amar Deep,0,R. Krishnamurthy,"K. Vijayan, Rajesh Khanna, Vinod Mehra","Drama, Romance",1979
1394,Amar Joshi Shahid Ho Gaya,0,Rajnish Thakur,"Sunil Shetty, Rajpal Yadav, Shawar Ali",Comedy,2005
1395,Amar Jyoti,166,Shantaram Rajaram Vankudre,"Durga Khote, Shanta Apte, Vasanti",Drama,1936
1396,Amar Jyoti,0,Mahipal,"Alok Nath, Karan Razdan, Anila Singh",Romance,1984
1397,Amar Jyoti,0,Jeevan,"Mahipal, Kamal Mehra, D.K. Sapru",Drama,1967
1398,Amar Kahani,0,Brij Sharma,"Jagdish Mehta, Paidi Jairaj, Ranjana",Romance,1949
1399,Amar Kahani Ravidas Ji Ki,98,Arvind Singh Sirohi,"Bhawana Arora, Samayera Khan, Sandeep Mohan",History,2020
1400,Amar Kirtan,0,Chand Burke,"Jayant, Shahu Modak, Madan Puri",-,1954
1401,Amar Prem,0,Natwar Shyam,"Ansuya, -, -",-,1936
1402,Amar Prem,0,N.M. Kelkar,"Madhav Kale, Raj Kapoor, Madhubala",Drama,1948
1403,Amar Prem,0,Ramanna,"Shivaji Ganesan, Krishna Rao, Savitri",-,1960
1404,Amar Prem,143,Shakti Samanta,"Rajesh Khanna, Sharmila Tagore, Sujit Kumar","Drama, Musical, Romance",1972
1405,Amar Prem,143,Tanveer Hashmi,"Chandrima Banerjee, Kundan Bhardwaj, Sufi",Drama,2020
1406,Amar Pyar,0,Hiralal,"Mahipal, Shakila, -",Fantasy,1958
1407,Amar Rahe Ye Pyar,121,Prabhu,"Rajendra Kumar, Nalini Jaywant, Nanda",Drama,1961
1408,Amar Raj,0,Homi Wadia,"Naseem Jr., Trilok Kapoor, H. Prakash","Drama, Musical",1946
1409,Amar Saheed Bhagat Singh,131,Omi Bedi,"Rajni Bala, Som Dutt, Achala Sachdev",Action,1974
1410,Amar Saigal,0,Nitin Bose,"Akhtar Jahan, G. Mungeri, Padmadevi",-,1955
1411,Amar Samadhi,0,Shahu Modak,"Shyama, -, -",Action,1958
1412,Amar Shaheed,0,B. Ramakrishnaiah Panthulu,"Shivaji Ganesan, Padmini, Gemini Ganesan",-,1959
1413,Amar Shaheed,0,B. Pawar,"-, -, -",-,1936
1414,Amar Shakti,133,Harmesh Malhotra,"Shashi Kapoor, Shatrughan Sinha, Sulakshana Pandit","Action, Adventure, Comedy",1978
1415,Amar Shilpi,0,Saroja Devi B.,"Jayalalitha J, -, -",Drama,1977
1416,Amar Suhagin,0,Babubhai Mistry,"-, -, -",-,1978
1417,Amar Yauvan,0,nan,"-, -, -",Drama,1982
1418,"Amar, Akbar and Anthony",184,Manmohan Desai,"Vinod Khanna, Rishi Kapoor, Amitabh Bachchan","Action, Comedy, Drama",1977
1419,Amarsinh Rathod,0,Jaswant Jhaveri,"Nirupa Roy, Ram Singh, Ramesh Sinha",-,1956
1420,Amavas,0,Sidharth Srinivasan,"-, -, -",Horror,0
1421,Amavas,134,Bhushan Patel,"Ali Asgar, Ali Asgar, Vivan Bhatena","Horror, Thriller",2019
1422,Amavas Ka Chand,0,nan,"-, -, -",Thriller,1979
1423,Amavas Ki Raat,0,Mohan Bhakri,"Ratan Aulakh, Rakesh Bedi, Sunil Dhawan",Horror,1990
1424,Amba,153,Mohan Kumar,"Shabana Azmi, Anil Kapoor, Meenakshi Sheshadri",Family,1990
1425,Amba Ambika Ambalika,0,P. Subramaniam,"Anandavally, Rani Chandra, Hari",-,1976
1426,Ambarish,0,Gunjal,"M. Bhagwandas, Kamlabai Gokhale, Gulab",-,1934
1427,Ambassador of Socialism,0,Charu Sharma,"-, -, -",Biography,2016
1428,Ambe Maa Jagdambe Maa,0,Sukhdev Ahluwalia,"Lata Arora, Yogesh Chhabra, Surjeet Kaur","Comedy, Drama, Family",1980
1429,Amber,141,Jayant Desai,"Nargis, Raj Kapoor, Agha","Action, Adventure, Drama",1952
1430,Amber,0,Prasenjit Chatterjee,"Pradeep Kumar, Anuradha Patel, Rameshwari",Romance,1985
1431,Amdavad Junction,95,Apurv Bajpai,"Rohan Jardosh, Ishita Salot, Gunjan Vyas",Mystery,2013
1432,Ameena,0,Aghajani,"Mahajbin, -, -",-,1934
1433,Ameer,0,Chandu,"Geeta Bali, Kamal Kapoor, Manju",-,1954
1434,Ameer Aadmi Gharib Aadmi,0,Amjad Khan,"Amitabh Bachchan, Zeenat Aman, Rabia Amin",Drama,1985
1435,Ameeree,0,P.C. Barua,"-, -, -",-,1945
1436,American Desi,100,Piyush Dinker Pandya,"Deep Katdare, Ronobir Lahiri, Purva Bedi","Comedy, Drama, Romance",2001
1437,Amir Garib,140,Mohan Kumar,"Dev Anand, Hema Malini, Prem Nath","Action, Thriller",1974
1438,Amir Salman Shahrukh,0,Dewashish Ghosh,"Sagar Pandey, Raju Rahikwar, -",Comedy,2016
1439,Amiri Garibi,155,Harmesh Malhotra,"Jeetendra, Rekha, Rishi Kapoor",Family,1990
1440,Amirzadi,0,Abdul Rehman Kabuli,"Rajkumari, Sultana, -",-,1934
1441,Amit Sahni Ki List,110,Ajay Bhuyan,"Vir Das, Vega Tamotia, Anindita Nayar","Comedy, Romance",2014
1442,Amma,0,Yashpal Sharma,"Shambhavi Agrawal, Brahmanandam, Ayesha Jhulka","Drama, Crime",2002
1443,Amma,135,Jiten,"Rakhee Gulzar, Mithun Chakraborty, Suresh Oberoi",Drama,1986
1444,Amma Nagamma,110,C.H. Balaji Singh Babu,"Dhamini, Kumar Govind, Prema","Drama, Fantasy, Thriller",2001
1445,Ammaa Ki Boli,117,Narayan Chauhan,"Sanjay Mishra, Hrishitaa Bhatt, Master Aniket","Comedy, Drama",2021
1446,Ammayi Kosam,0,Muppalaneni Siva,"Meena, Vineeth, Siva Reddy",Drama,2001
1447,Ammu Ki Bakari,0,Ramu Kariat,"-, -, -",Drama,1980
1448,Amnol Sahara,0,Raaj Kumar,"-, -, -",Drama,1952
1449,Amphigori,0,Shitiz Srivastava,"Shitiz Srivastava, Avinash Dhyani, Dipankar Bahalia","Action, Comedy, Crime",2013
1450,Amrapali,0,Nandlal Jaswantlal,"Prem Adib, Arun, Sabita Devi",-,1945
1451,Amrapali,119,Lekh Tandon,"Vyjayanthimala, Sunil Dutt, Prem Nath","Musical, Fantasy",1966
1452,Amriki Pandit,0,Kalpesh Garg,"Madhavan, Manju Warrier, Deepti Sati",Drama,2021
1453,Amrit,137,Mohan Kumar,"Rajesh Khanna, Smita Patil, Aruna Irani","Drama, Family",1986
1454,Amrit,153,Master Vinayak,"Dada Salvi, Baburao Pendharkar, Lalita Pawar",-,1941
1455,Amrit,162,Master Vinayak,"Dada Salvi, Baburao Pendharkar, Lalita Pawar",-,1941
1456,Amrit Manthan,0,S.N. Tripathi,"Sulochana Chatterjee, Dalpat, Manher Desai",-,1961
1457,Amrita,0,Kakoli Biswas,"Arun Bali, Saptrishi Ghosh, Jaya Seal",Thriller,1999
1458,Amruta,0,Usman Baig,"Chandrashekhar, Sudhir Dalvi, Gulshan Grover",Romance,1999
1459,Amshini,0,Krishnan Kartha,"Marcus Bartley, Seema Biswas, Venu Gopal",Drama,1987
1460,Amu,102,Shonali Bose,"Konkona Sen Sharma, Yashpal Sharma, Brinda Karat",Drama,2005
1461,Amulyam (Priceless),0,Akkineni Kutumba Rao,"-, -, -",Drama,1978
1462,An acid attack case,0,Kritn Ajitesh,"-, -, -",Mystery,2020
1463,An Encounter,0,Aadish Keluskar,"Uday Chandra, Karishma Gupte, -",Thriller,2012
1464,An Engineered Dream,72,Hemant Gaba,"-, -, -",Documentary,2018
1465,An Evening in Paris,168,Shakti Samanta,"Shammi Kapoor, Sharmila Tagore, Sarita","Musical, Romance, Thriller",1967
1466,An Excursion: From the Archives of Kaagaz Ki Kashti,176,Brahmanand S. Singh,"Ghulam Ali, Talat Aziz, Mahesh Bhatt",Documentary,2018
1467,An Indian Day,57,S. Sukhdev,"-, -, -",Documentary,1968
1468,An Insignificant Man,96,Khushboo Ranka,"Vinay Shukla, Arvind Kejriwal, Saurabh Bhardwaj","Documentary, Thriller",2016
1469,An Ordinary Election,125,Lalit Vachani,"-, -, -",Documentary,2015
1470,An Ungodly Tie,135,Himanshu Binekar,"Mohanti Kesarwani, Trisha Nandwani, Himansh Sajwan",Horror,2019
1471,An Unspoken Love Story,0,Yogesh,"Jaiyanth Vasanth Sinha, -, -",Romance,2015
1472,Anaadi Anant,0,Prakash Jha,"Surekha Sikri, Vasant Jasaljar, Suman Kumar",-,1986
1473,Anaam,0,Ramesh Modi,"Arman Kohli, Ayesha Jhulka, Kiran Kumar","Action, Drama, Mystery",1992
1474,Anaam,0,Ganesh Shetty,"Karuna Dogra, Neil Bhoopalam, Raghuvir Yadav",Drama,0
1475,Anaamika,0,Vineet Rane,"Ejaz Ahmed, Priya Sharma, Shagun Sharma",Horror,2021
1476,Anaar,0,Madhuri Mishra,"Pallavi, Sachin Pilgaonkar, Om Shivpuri",Drama,1986
1477,Anaarkali of Aarah,113,Avinash Das,"Pankaj Tripathi, Swara Bhaskar, Sanjay Mishra",Drama,2017
1478,Anaath,0,Khwaja Mohammad Abbas,"-, -, -",Drama,1949
1479,Anadi Khiladi,0,Naqi Ahmed,"Jalal Agha, Puneet Issar, Huma Khan",Action,1986
1480,Anamika,125,Raghunath Jhalani,"Sanjeev Kumar, Jaya Bachchan, Iftekhar","Mystery, Romance, Musical",1973
1481,Anamika: The Untold Story,0,Ananth Narayan Mahadevan,"Dino Morea, Minissha Lamba, Koena Mitra","Drama, Romance, Thriller",2008
1482,Anand,122,Hrishikesh Mukherjee,"Rajesh Khanna, Amitabh Bachchan, Sumita Sanyal","Drama, Musical",1971
1483,Anand,0,Samarth Kumar,"-, -, -",Drama,1941
1484,Anand Aur Anand,0,Dev Anand,"Dev Anand, Suneil Anand, Raj Babbar","Family, Drama, Romance",1984
1485,Anand Bhawan,0,S.M. Yusuf,"Trilok Kapoor, Nigar Sultana, -",-,1953
1486,Anand Mahal,0,Basu Bhattacharya,"Vijay Arora, Manik Dutt, Sarika",Drama,1977
1487,Anand Math,176,Hemen Gupta,"Prithviraj Kapoor, Geeta Bali, Ranjana","Biography, Drama, History",1952
1488,Ananda Ashram,127,Shakti Samanta,"Ashok Kumar, Uttam Kumar, Sharmila Tagore","Drama, Family",1977
1489,Anangsena,0,Moti B. Gidwani,"Elizer, Hadi, Jillo",-,1931
1490,Anantyatra,0,Jayoo Patwardhan,"Nachiket Patwardhan, Sudhir Joshi, Rohini Hattangadi",Drama,1985
1491,Anar,0,K.K. Shahi,"Sachin Pilgaonkar, Ashok Saraf, Rina Sharma",Musical,1991
1492,Anarbala,0,A.M. Khan,"Benjamin, Shanta Kashmiri, Akhtari",Horror,1940
1493,Anarbala,0,Raja Yagnik,"Daljeet, Krishna Kumari, Nilofer",Drama,1961
1494,Anari,166,Hrishikesh Mukherjee,"Raj Kapoor, Nutan, Lalita Pawar","Comedy, Drama, Musical",1959
1495,Anari,171,K. Muralimohana Rao,"Rakhee Gulzar, Venkatesh Daggubati, Karisma Kapoor","Comedy, Drama, Romance",1993
1496,Anari,144,Asit Sen,"Shashi Kapoor, Sharmila Tagore, Moushumi Chatterjee","Drama, Romance",1975
1497,Anari No. 1,169,Kuku Kohli,"Govinda, Raveena Tandon, Simran",Comedy,1999
1498,Anarkali,0,R.S. Choudhury,"Dinshaw Bilimoria, Jillo, Ruby Mayer",-,1935
1499,Anarkali,175,Nandlal Jaswantlal,"Bina Rai, Pradeep Kumar, Kuldip Kaur","History, Musical, Romance",1953
1500,Anath Ashram,136,Hemchandra Chunder,"Umasashi, Najmul Hussain, Jagdish Sethi",Drama,1937
1501,Anatomy of Violence,93,Deepa Mehta,"Vansh Bhardwaj, Tia Bhatia, Janki Bisht","Crime, Drama",2016
1502,Anban,0,Niren Lahiri,"-, -, -",-,1944
1503,Anchhuye,0,H.B. Singh,"Rajeev Raj, Anissa Poddar, Sahiba",Drama,2002
1504,And Unto the Void,0,Feroz Chinoy,"Shatrughan Sinha, -, -",Drama,1967
1505,Andaaz,145,Raj Kanwar,"Akshay Kumar, Lara Dutta, Priyanka Chopra Jonas","Drama, Musical, Romance",2003
1506,Andar Baahar,0,Raj N. Sippy,"Anil Kapoor, Jackie Shroff, Danny Denzongpa","Action, Thriller",1984
1507,Andaz,148,Mehboob Khan,"Nargis, Dilip Kumar, V.H. Desai","Musical, Drama, Crime",1949
1508,Andaz,166,Ramesh Sippy,"Shammi Kapoor, Rajesh Khanna, Hema Malini","Drama, Romance",1971
1509,Andaz,167,David Dhawan,"Anil Kapoor, Juhi Chawla, Karisma Kapoor","Action, Comedy, Drama",1994
1510,Andaz Apna Apna,160,Rajkumar Santoshi,"Aamir Khan, Salman Khan, Raveena Tandon","Action, Comedy, Romance",1994
1511,Andaz Pyaar Ka,0,Devi Dutt,"Govinda, Saeed Jaffrey, Anupam Kher","Drama, Romance",1986
1512,Andaz Tera Mera,0,Kumud Pant,"Atul Sharma, Bharat Mistri, Kumud Pant","Action, Comedy, Romance",0
1513,Andh: Let's Play Blind,103,Vijay Shankar Sharma,"Sweta Handoo, Vijay Shankar Sharma, Dalbir Singh",Thriller,2018
1514,Andha Bichar,148,Shakti Samanta,"Mithun Chakraborty, Mandakini, Tanuja","Action, Drama",1990
1515,Andha Insaaf,0,Divya Bharti,"-, -, -","Action, Crime",1993
1516,Andha Oru Nimidam,144,Major Sundarrajan,"Kamal Haasan, Urvashi, Y.G. Mahendran","Action, Crime, Drama",1985
1517,Andha Sach,0,Shiva Naraain,"Om Katare, Anjan Srivastav, Vinay Maliik",Action,1991
1518,Andhaa Kaanoon,155,Rama Rao Tatineni,"Amitabh Bachchan, Rajinikanth, Hema Malini","Action, Drama",1983
1519,Andhaa Yudh,0,Dayal Nihalani,"Raj Babbar, Vyjayanti Chavan, Vaishali Dandekar","Drama, Thriller",1987
1520,Andhadhun,139,Sriram Raghavan,"Ayushmann Khurrana, Tabu, Radhika Apte","Crime, Drama, Music",2018
1521,Andher Gardi,0,Ashok Tyagi,"Raj Babbar, Kimi Katkar, Sripradha","Action, Drama",1990
1522,Andher Nagari Chaupat Raja,0,Shamim Bhagat,"David Abraham, Amarnath, Brahm Bhardwaj","Comedy, Drama",1955
1523,Andhera,0,Aspi Irani,"Arun, M. Bhagwandas, -",-,1943
1524,Andhera,110,Shyam Ramsay,"Tulsi Ramsay, Sameer Khan, Vani Ganpati","Crime, Drama, Thriller",1975
1525,Andhera,0,Ajit Asthana,"Anchana, Anisha, Anil Dhawan","Drama, Horror, Romance",1994
1526,Andheri Duniya,0,Vishram Bedekar,"-, -, -",-,1936
1527,Andheri Raat,0,Amala Akkineni,"Prabhu, -, -",Horror,1991
1528,Andheri Raat Mein Diya Tere Haath Mein,129,Dada Kondke,"Dada Kondke, Usha Chavan, Dina Pathak","Comedy, Drama",1986
1529,Andheri Raatin Mein,0,Anil Dhanda,"Rajni Chandra, Mohan Joshi, Zunaid Memon",Drama,2001
1530,Andhi Gali,152,Buddhadev Dasgupta,"Deepti Naval, Mahesh Bhatt, Anil Chatterjee","Drama, Thriller",1984
1531,Andhon Ki Duniya,0,Keshavrao Date,"Leela Chitnis, Munawwar Sultana, Manmohan Krishna",Drama,1947
1532,Andolan,156,Phani Majumdar,"Kishore Kumar, Gauri Devi, Krishnakant","Drama, History",1951
1533,Andolan,0,Lekh Tandon,"Urmila Bhatt, Arpana Choudhary, Ajit Singh Deol",Drama,1975
1534,Andolan,165,Aziz Sejawal,"Ishrat Ali, Somy Ali, Divya Bharti","Action, Comedy, Drama",1995
1535,Anek,0,Anubhav Sinha,"Ayushmann Khurrana, -, -",-,2021
1536,Ang Lagaa Le,0,Abhilasha,"Babloo, Shafeeq, Sugandhi",Thriller,1991
1537,Ang Se Ang Laga Lay,0,Kishore Anand Bhanushali,"Amit Kapoor, Amit Pachori, Kirti Shetty",Thriller,2002
1538,Ang Se Ang Lagaley,0,Shiv Kumar,"Satish Kaul, Prema Narayan, Sulochana Chatterjee","Drama, Romance",1974
1539,Angaar,176,Shashilal K. Nair,"Jackie Shroff, Dimple Kapadia, Nana Patekar","Action, Crime, Drama",1992
1540,Angaar,0,Ashok Roy,"Kiran Kumar, Yogeeta Bali, Helen","Drama, Mystery",1980
1541,Angaar Vadee,140,Nazim Hassan,"Arun Govil, Musthafa Hyder, Saeed Jaffrey",Action,1998
1542,Angaar: The Fire,0,Ajay Kashyap,"Vinay Anand, Rana Jung Bahadur, Rajat Bedi",Action,2002
1543,Angaara,127,Anil Ganguly,"Sadashiv Amrapurkar, Suresh Bhagwat, Hemant Birje","Action, Crime",1996
1544,Angaaray,141,Mahesh Bhatt,"Akshay Kumar, Nagarjuna Akkineni, Pooja Bhatt","Action, Crime, Drama",1998
1545,Angaaray,0,Rajesh Seth,"Rajesh Khanna, Smita Patil, Raj Babbar","Adventure, Crime, Romance",1986
1546,Angaare,0,Alka,"Mohan Choti, Rakhee Gulzar, Bipin Gupta","Drama, Romance",1977
1547,Angaarey,0,Govind Saraiya,"Sanjeev Kumar, Rakhee Gulzar, Alka","Action, Drama, Thriller",1975
1548,Angarey,0,K.B. Lall,"Nasir Khan, Nargis, K.N. Singh",Drama,1954
1549,Angarey,0,Govind Saraiya,"-, -, -",-,1975
1550,Angel,114,Ganesh Acharya,"Sumit Arora, Arun, Raakesh Babu","Action, Drama",2011
1551,Angoor,131,Gulzar,"Sanjeev Kumar, Moushumi Chatterjee, Deven Verma",Comedy,1982
1552,Angoor,106,Kanti Shah,"Sapna Sappu, Rajesh Sabharwal, Amit Pachori",Drama,2005
1553,Angoori,0,Mahesh Kaul,"Ulhas, -, -",-,1943
1554,Angoori,0,Soniya Singh,"-, -, -",Thriller,2003
1555,Angoori Bani Angaara,142,Nirbhay Chaudhary,"Mona Chaudhary, Satish Chikhale, Shubham Dubey",Action,2015
1556,Angoothi,0,Bibhuti Mitra,"Ashok Kumar, Chandraprabha, Prahlad",-,1943
1557,Angrakshak,116,Ravi Raja Pinisetty,"Sunny Deol, Pooja Bhatt, Rami Reddy","Action, Romance",1995
1558,Angrakshak: Body Guard,153,Vijay Rattan,"Vijay Chand, Praneel Kumar, Rumesh Lal",Action,1995
1559,Angrezi Medium,145,Homi Adajania,"Irrfan Khan, Radhika Madan, Kareena Kapoor","Comedy, Drama",2020
1560,Angry Indian Goddesses,121,Pan Nalin,"Sarah Jane Dias, Rajshri Deshpande, Sandhya Mridul","Comedy, Drama",2015
1561,Angry Young Man,0,Ramesh Rout,"Muntazir Ahmad, Amit Bhardwaj, Ashit Kumar",Action,2014
1562,Angry Young Men,0,Namrata Rao,"-, -, -",Drama,0
1563,Angulimaal,153,Vijay Bhatt,"Nimmi, Bharat Bhushan, Anita Guha","Action, Adventure, Drama",1960
1564,Anhonee,155,Khwaja Ahmad Abbas,"Nargis, Raj Kapoor, Agha","Drama, Romance, Thriller",1952
1565,Anhonee,127,Ravi Tandon,"Sanjeev Kumar, Leena Chandavarkar, Padma Khanna","Drama, Romance, Thriller",1973
1566,Animal,0,Sandeep Reddy Vanga,"Ranbir Kapoor, Parineeti Chopra, Anil Kapoor","Action, Drama",2022
1567,Anita,154,Raj Khosla,"Sadhana, Manoj Kumar, I.S. Johar","Musical, Thriller, Mystery",1967
1568,Anita Mera Naam,0,Sengili Murugan,"Silk Smitha, Raja Velu, -",Action,1985
1569,Anjaam,0,Kanjibhai Rathod,"-, -, -",-,1940
1570,Anjaam,0,Shanti Kumar,"Dulari, Kuldip Kaur, Prem Nath",-,1952
1571,Anjaam,0,Shiv Kumar,"Feroz Khan, Shahida, Nisar Ahmad Ansari","Action, Adventure",1968
1572,Anjaam,0,Kishore Khanna,"Sarika, Ramesh Deo, Gajanan Jagirdar","Action, Crime, Drama",1978
1573,Anjaam,136,T. Hariharan,"Rajan Sippy, Parijat, Shashi Kapoor",Thriller,1987
1574,Anjaam,170,Rahul Rawail,"Madhuri Dixit, Shah Rukh Khan, Tinnu Anand","Drama, Thriller",1994
1575,Anjaam,0,Ananth Narayan Mahadevan,"Emraan Hashmi, Tusshar Kapoor, -",Thriller,2007
1576,Anjaam khuda jaane,0,Danny Denzongpa,"Gulshan Grover, Imtiaz Khan, Dev Kumar",Action,1988
1577,Anjaan,0,Hansal Mehta,"Mahek Chahal, Vipul Gupta, Aamir Ali","Drama, Thriller",2005
1578,Anjaan Raahen,0,Mohan J. Bijlani,"Feroz Khan, Asha Parekh, Akbar Khan","Drama, Comedy",1974
1579,Anjaana,152,Mohan Kumar,"Rajendra Kumar, Babita Kapoor, Pran",Romance,1969
1580,Anjaana Anjaani,151,Siddharth Anand,"Priyanka Chopra Jonas, Aubrey K. Miller, Ranbir Kapoor","Comedy, Drama, Musical",2010
1581,Anjaane,0,Ravi Rai,"Mohnish Bahl, Beena Banerjee, Farida Jalal",Drama,2000
1582,Anjaane Log,0,T.P. Jhunjhunwala,"Arun Govil, Goga Kapoor, Pinchoo Kapoor",Drama,1992
1583,Anjaane Rishte,0,Diljit Singh,"Shekhar Suman, Seema Kapoor, Vasantsena",Drama,1989
1584,Anjaane: The Unkown,110,Harryy W. Fernaandes,"Manisha Koirala, Sanjay Kapoor, Helen",Horror,2005
1585,Anjali,0,Chetan Anand,"Chetan Anand, Krishan Dhawan, Kumkum",-,1957
1586,Anjam Hawas Ka,0,Jayalalitha,"Uma Maheshwari, Raghu, Sabli",Thriller,1991
1587,Anjan,144,Amiya Chakrabarty,"Devika Rani, Ashok Kumar, V.H. Desai",Drama,1941
1588,Anjan Bharathi,0,Krishna Kapil,"Sangeeta Arora, Anil Grover, Anup Grover",Action,1998
1589,Anjan Hai Koyee,133,Babubhai Mistry,"Feroz Khan, Nalini, Helen","Action, Comedy, Crime",1969
1590,Anjana Ishq,0,Sanjeev Trigunayat,"Ranjeet, Shakti Kapoor, Arun Bakshi",Musical,0
1591,Anjane Mehman,0,Samit Bhanja,"Jeevan, Padmadevi, Sumita Sanyal",Drama,1975
1592,Anjane Mein,0,Samir Ganguly,"Rishi Kapoor, Neetu Singh, Nirupa Roy","Drama, Family",1978
1593,Anjaneya,168,N. Maharajan,"Ajith Kumar, Meera Jasmine, Raghuvaran","Action, Crime, Drama",2003
1594,Anjaneyulu,143,Parasuram,"Ravi Teja, Nayanthara, Kota Srinivasa Rao","Action, Comedy, Crime",2009
1595,Anjangarh,126,Bimal Roy,"Sunanda Banerjee, Raja Ganguli, Hiralal",Drama,1948
1596,Anjuman,0,Akhtar Hussein,"Paidi Jairaj, Durga Khote, Nargis",-,1948
1597,Anjuna Beach,0,Shakeel S. Saifee,"Kavita Chouhan, Ramesh Goyal, Sareen Khan",Thriller,2012
1598,Ankahee,135,Amol Palekar,"Amol Palekar, Deepti Naval, Devika Mukherjee",Drama,1985
1599,Ankahee,151,Vikram Bhatt,"Aftab Shivdasani, Ameesha Patel, Esha Deol","Biography, Drama, Romance",2006
1600,Ankh Ka Nasha,0,Anita Guha,"Helen, M. Rajan, Shammi",Drama,1956
1601,Ankh Ka Tara,0,Jyotish Bannerjee,"Chanda, Indubala, Jehanara Kajjan",-,1932
1602,Ankh Ka Tara,0,Shantilal Soni,"Sachin Pilgaonkar, Bindiya Goswami, Ajit","Drama, Family",1978
1603,Ankh Micholi,0,Ravindra Dave,"Shekhar, Mala Sinha, S. Nazir","Crime, Drama, Mystery",1962
1604,Ankhen,172,Ramanand Sagar,"Mala Sinha, Dharmendra, Kumkum","Action, Adventure, Drama",1968
1605,Ankhon Dekhi,107,Rajat Kapoor,"Sanjay Mishra, Seema Bhargava, Rajat Kapoor","Comedy, Drama",2013
1606,Ankhon Mein Tum Ho,151,Ashim S. Samanta,"Anuraag, Rakhee Gulzar, Satyendra Kapoor",Romance,1997
1607,Ankur Arora Murder Case,129,Sohail Tatari,"Kay Kay Menon, Visshesh Tiwari, Tisca Chopra","Drama, Thriller",2013
1608,"Ankur, Mania Aur Kabutar (Operation Pink Pigeon)",98,Madan Bawaria,"Savita Bajaj, Himanshu, M.K. Raina",Drama,1989
1609,Ankur: The Seedling,131,Shyam Benegal,"Shabana Azmi, Sadhu Meher, Anant Nag",Drama,1974
1610,Ankush,149,N. Chandra,"Nana Patekar, Rabia Amin, Gajanan Bangera","Action, Drama",1986
1611,Ankush: The Command,0,Harish Bhosle,"Jayesh Chawla, Sonali Goswami, Mohan Joshi",Action,2005
1612,Anmol,163,Ketan Desai,"Maya Alagh, Sudha Chopra, Anil Dhawan","Drama, Family, Romance",1993
1613,Anmol Ghadi,122,Mehboob Khan,"Surendra, Suraiya, Noor Jehan","Drama, Musical, Romance",1946
1614,Anmol Moti,0,S.D. Narang,"Jeetendra, Babita Kapoor, Aruna Irani","Action, Romance",1969
1615,Anmol Moti,0,Jagdish Kumar Nirmal,"Master Aziz, Daya Devi, Jayshree Gadkar",Drama,1965
1616,Anmol Ratan,0,M. Sadiq,"Karan Dewan, Meena Kumari, Madan Puri","Drama, Family",1950
1617,Anmol Sitaare,153,Geethapriya,"Master Baboo, Rakesh Bedi, Ramesh Deo",Drama,1982
1618,Anmol Tasveer,77,Satyen Bose,"Preeti Ganguli, Anoop Kumar, Birbal","Drama, Family",1978
1619,Anna,142,Shashank Udapurkar,"Shashank Udapurkar, Tanishaa Mukerji, Govind Namdeo",Biography,2016
1620,"Anna, Kisan Baburao Hazare",0,Shashank Udapurkar,"Jayant Gadekar, Ashwini Giri, Anant Jog",Biography,2016
1621,Annadata,0,Ismail Memon,"Ajit, Nisar Ahmad Ansari, Kanhaiyalal Chaturvedi",-,1952
1622,Annadata,0,Asit Sen,"Jaya Bachchan, Anil Dhawan, Om Prakash","Drama, Family",1972
1623,Annai Velankanni,148,K. Thankappan,"Jayalalitha J, Gemini Ganesan, Padmini",Drama,1971
1624,Annamalai,164,Suresh Krishna,"Rajinikanth, Sarath Babu, Kushboo","Action, Drama",1992
1625,Annarth,0,Ravi Dewan,"Sanjay Dutt, Sunil Shetty, Ashutosh Rana","Action, Crime, Drama",2002
1626,Anniyan Hindi Remake,0,nan,"-, -, -",Drama,0
1627,Anokha,132,Jugal Kishore,"Shatrughan Sinha, Zarina Wahab, A.K. Hangal","Action, Comedy, Crime",1975
1628,Anokha Andaaz,0,Lawrence D'Souza,"Asrani, Anand Balraj, Bindu",Romance,1995
1629,Anokha Anubhav,105,Divyaa Dwivedi,"Juhi Javed, Mohan Joshi, Razak Khan",Thriller,2003
1630,Anokha Aspatal,91,Mukesh Sharma,"Ankur, Ajay Chadha, Paintal",Comedy,1989
1631,Anokha Bandhan,134,Mehul Kumar,"Shabana Azmi, Seema Deo, Aruna Irani",Drama,1982
